;id_labdoc;n_users;durée_écriture;plage_travail;passage_main
187;323834;2;200.0;64773.00000000001;1
191;323832;2;680.0;57390.0;1
194;323680;2;400.0;98766.0;1
195;323683;3;440.0;109946.0;2
198;323684;3;420.0;76532.0;2
199;323710;2;1060.0;107212.0;2
200;323700;2;340.0;104608.0;1
202;323695;2;1040.0;93002.0;1
206;314749;2;400.0;347085.0;1
208;314764;3;1700.0;343092.0;8
211;314769;3;1260.0;342448.0;4
212;314768;3;1280.0;341750.0;6
214;330413;2;480.0;9825.0;1
216;330303;2;340.0;12373.0;1
217;330030;2;780.0;21810.0;1
218;330394;2;560.0;10594.0;1
227;322797;2;800.0;180294.0;2
234;317221;2;1780.0;19140.0;8
235;316343;2;500.0;184697.0;1
236;316381;3;60.0;4761.0;2
240;316291;2;440.0;192086.0;2
241;313044;2;60.0;839.0;1
242;314205;2;580.0;577446.0;2
245;327514;2;1520.0;177247.0;1
246;329358;2;340.0;532.0;1
247;315626;2;240.0;37948.0;1
248;315701;2;200.0;2102.0;2
250;322913;2;600.0;357917.0;1
252;322013;3;240.0;300780.0;2
253;325165;2;840.0;8678.0;1
254;322346;3;940.0;273607.0;4
256;322038;2;420.0;297540.0;1
257;322017;4;1620.0;101379.0;7
258;329897;2;480.0;120282.00000000001;3
259;330534;2;300.0;162738.0;1
260;331607;2;620.0;10132.0;1
261;331411;2;380.0;23439.0;1
269;330038;2;1000.0;13001.0;1
273;328938;2;800.0;1984.0000000000002;1
276;326014;2;1660.0;154756.0;1
277;325945;2;340.0;155510.0;1
278;325853;2;660.0;1213.0;1
282;325012;3;880.0;189377.0;2
284;325009;2;120.0;233860.00000000003;2
285;327038;3;1200.0;91547.0;3
287;309812;3;280.0;1613.0;3
291;325939;3;560.0;168495.0;3
292;325928;2;140.0;169717.0;1
295;325963;3;560.0;266662.0;3
296;326013;3;380.0;327389.0;3
297;316411;2;500.0;105621.0;1
298;316416;2;1680.0;100508.0;1
299;316703;2;600.0;78948.0;1
306;328764;2;900.0;114419.0;2
310;329453;2;200.0;16568.0;1
312;329491;2;1360.0;16002.000000000002;1
315;439994;3;400.0;327267.0;4
318;440010;2;420.0;325779.0;1
320;447243;2;160.0;1885.0000000000002;1
325;436213;2;1200.0;5826.0;2
326;436212;3;860.0;6201.0;2
329;269388;2;480.0;1154.0;2
331;436232;2;720.0;2581.0;1
340;440124;2;460.0;428617.0;1
342;440125;3;280.0;425618.0;4
344;440112;2;480.0;2256.0;1
345;440113;3;220.0;1402.0;2
346;440111;2;900.0;3329.0;1
347;440110;2;1100.0;3665.0000000000005;1
350;447169;3;720.0;4201.0;2
351;447160;2;1460.0;4440.0;1
352;439970;2;920.0;4919.0;1
353;439971;3;660.0;3916.0000000000005;3
354;439973;4;400.0;437173.0;3
367;269844;3;500.0;609.0;3
368;269852;3;280.0;806.0;2
369;269851;2;540.0;3946.0000000000005;1
374;436235;2;580.0;4183.0;1
375;436228;2;400.0;622067.0;3
376;436226;3;1020.0;3723.0000000000005;7
377;436227;2;620.0;3254.0;1
381;439977;3;580.0;440239.0;3
382;439976;2;500.0;436758.0;1
385;439975;2;1000.0;443483.0;1
388;440137;3;260.0;538.0;3
389;442261;2;700.0;1886.0000000000002;2
390;270932;2;600.0;2048.0;1
393;270934;3;540.0;1235.0;2
394;440001;2;520.0;3468.0;1
395;440000;2;740.0;2770.0;1
396;440002;3;820.0;329722.0;5
399;440003;2;1240.0;327138.0;1
400;440006;2;200.0;324605.0;1
