,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec
135,453,40257,368712,6599621,1,0,51,2,0.0,0.0
136,453,40257,368505,6546691,1,0,84,7,0.0,0.0
137,453,40257,369570,6600838,1,0,44,2,0.0,0.0
138,453,40257,368654,6549284,1,0,61,3,0.0,0.0
139,453,40257,368407,6543933,1,0,101,2,0.0,0.0
140,453,27390,250183,3744882,1,0,81,3,0.0,0.0
141,453,27390,250183,3744916,1,0,81,3,0.0,0.0
142,453,27390,250183,3745429,1,0,81,3,0.0,0.0
143,453,27390,250183,3748496,1,0,7,1,0.0,0.0
144,453,27390,250183,3748653,1,0,64,2,0.0,0.0
145,453,27390,250183,3749925,1,0,320,9,0.0,0.0
146,453,27390,250400,3753632,1,0,17,1,0.0,0.0
147,453,27390,250400,3754149,1,0,143,7,0.0,0.0
148,453,27390,250400,3756389,1,0,143,7,0.0,0.0
149,453,27390,249270,3720887,1,0,140,7,0.0,0.0
150,453,27390,250278,3751316,1,0,94,3,0.0,0.0
151,453,27390,250278,3751901,1,0,94,3,0.0,0.0
152,453,27390,250278,3752089,1,0,124,5,0.0,0.0
153,453,27390,250278,3752386,1,0,147,5,0.0,0.0
154,453,27390,250278,3752568,1,0,167,5,0.0,0.0
155,453,27390,250278,3756432,1,0,167,5,0.0,0.0
156,453,27390,250480,3756142,1,0,20,1,0.0,0.0
157,453,27390,250480,3756348,1,0,137,6,0.0,0.0
158,453,38560,368887,6582347,1,0,28,2,0.0,0.0
159,453,38560,369351,6595965,1,0,82,4,0.0,0.0
160,453,38560,369633,6593518,1,0,67,3,0.0,0.0
161,453,38560,369633,6596437,1,0,68,3,0.0,0.0
162,453,38560,369237,6591383,1,0,48,3,0.0,0.0
163,453,38560,368778,6582585,1,0,39,2,0.0,0.0
164,453,38560,368778,6583053,1,0,43,3,0.0,0.0
165,453,38560,368778,6583195,1,0,60,3,0.0,0.0
166,453,38560,368785,6551199,1,0,42,4,0.0,0.0
167,453,38560,368785,6551263,1,0,42,3,0.0,0.0
168,453,38560,368785,6551445,1,0,42,3,0.0,0.0
169,453,38560,368785,6569378,1,0,119,7,0.0,0.0
170,453,38627,368153,6532865,1,0,6,2,0.0,0.0
171,453,38627,368153,6536291,1,0,11,3,0.0,0.0
172,453,38627,368153,6536576,1,0,19,5,0.0,0.0
173,453,38627,368153,6545590,1,0,57,6,0.0,0.0
174,453,38627,368355,6541336,1,0,27,1,0.0,0.0
175,453,38627,368355,6544084,1,0,27,1,0.0,0.0
176,453,38627,368355,6544245,1,0,27,1,0.0,0.0
177,453,38627,368355,6544726,2,0,186,7,0.3,0.0
178,453,38627,367561,6518185,1,0,41,3,0.0,0.0
179,453,38627,367561,6531787,2,0,41,3,0.0,0.0
180,453,38627,368445,6545899,1,0,32,1,0.0,0.0
181,453,38627,368415,6544294,1,0,40,3,0.0,0.0
182,453,38627,368415,6545649,1,0,51,3,0.0,0.0
183,453,38627,367645,6518768,1,0,40,3,0.0,0.0
184,453,38627,368069,6529296,1,0,51,3,0.0,0.0
185,453,38627,365601,6528964,1,0,199,12,0.0,0.0
186,453,38627,367602,6518563,1,0,17,2,0.0,0.0
187,453,38627,368421,6544557,1,0,16,1,0.0,0.0
