,id_labdoc,id_trace,action_time,id_mission,id_report,n_users,teacher,n_tokens,n_segments,eqc,coec,user,sim
115,340914,5880497,2020-11-30 10:07:09,453,37539,1,0,39,2,0.0,0.0,10893,1.0
116,340755,5876819,2020-11-30 08:57:53,453,37539,1,0,4,1,0.0,0.0,10893,1.0
117,340967,5882066,2020-11-30 10:37:15,453,37539,1,0,51,5,0.0,0.0,10893,1.0
118,341174,5887839,2020-11-30 11:47:28,453,37539,1,0,24,1,0.0,0.0,10893,1.0
119,340905,5879813,2020-11-30 09:53:23,453,37539,1,0,73,5,0.0,0.0,10893,1.0
120,340923,5880517,2020-11-30 10:07:25,453,37539,1,0,38,2,0.0,0.0,10893,1.0
121,340951,5881254,2020-11-30 10:22:06,453,37539,1,0,19,1,0.0,0.0,10893,1.0
122,341010,5883921,2020-11-30 11:00:29,453,37539,1,0,31,3,0.0,0.0,10893,1.0
123,340926,5880680,2020-11-30 10:10:05,453,37539,1,0,12,1,0.0,0.0,10893,1.0
124,340954,5881596,2020-11-30 10:29:13,453,37539,1,0,14,1,0.0,0.0,10893,1.0
125,341161,5887054,2020-11-30 11:38:16,453,37539,1,0,33,2,0.0,0.0,10893,1.0
126,340835,5877205,2020-11-30 09:07:42,453,37539,1,0,25,2,0.0,0.0,10893,1.0
127,341055,5884486,2020-11-30 11:08:31,453,37539,1,0,59,4,0.0,0.0,10893,1.0
128,340927,5880843,2020-11-30 10:13:35,453,37539,1,0,23,2,0.0,0.0,10893,1.0
129,340955,5881650,2020-11-30 10:30:20,453,37539,1,0,11,2,0.0,0.0,10893,1.0
130,341078,5886837,2020-11-30 11:35:42,453,37539,1,0,10,1,0.0,0.0,10893,1.0
131,341078,5895893,2020-11-30 15:59:52,453,37539,2,0,21,2,0.96,0.0,10917,0.57
132,340788,5877116,2020-11-30 09:05:44,453,37539,1,0,17,1,0.0,0.0,10893,1.0
133,340270,5866822,2020-11-29 19:34:56,453,37539,1,0,107,4,0.0,0.0,10893,1.0
134,340270,5869856,2020-11-29 21:37:47,453,37539,2,0,51,2,0.28,0.28,10917,0.57
135,340978,5885737,2020-11-30 11:23:17,453,37539,1,0,12,2,0.0,0.0,10893,1.0
136,340979,5882529,2020-11-30 10:43:46,453,37539,1,0,20,1,0.0,0.0,10893,1.0
137,340873,5881183,2020-11-30 10:20:50,453,37539,1,0,32,4,0.0,0.0,10893,1.0
138,340934,5881785,2020-11-30 10:32:19,453,37539,1,0,18,2,0.0,0.0,10893,1.0
139,341155,5886588,2020-11-30 11:32:59,453,37539,1,0,17,1,0.0,0.0,10893,1.0
140,341155,5895541,2020-11-30 15:50:07,453,37539,2,0,32,1,0.94,0.94,10917,0.87
141,341163,5887750,2020-11-30 11:46:29,453,37539,1,0,46,5,0.0,0.0,10893,1.0
142,340837,5881799,2020-11-30 10:32:39,453,37539,1,0,18,2,0.0,0.0,10893,1.0
143,246354,3655292,2019-12-16 12:11:33,453,27181,1,0,99,5,0.0,0.0,8229,1.0
144,245867,3641247,2019-12-15 19:42:41,453,27181,1,0,16,6,0.0,0.0,8230,1.0
145,245867,3644125,2019-12-16 08:40:23,453,27181,2,0,41,6,0.78,0.05,8229,0.9
146,245867,3645938,2019-12-16 09:22:51,453,27181,2,0,75,8,0.7,0.39,8230,0.82
147,245867,3648824,2019-12-16 10:26:36,453,27181,2,0,151,9,0.66,0.27,8229,0.83
148,245867,3652236,2019-12-16 11:20:53,453,27181,2,0,151,9,0.66,0.27,8230,1.0
149,245951,3653038,2019-12-16 11:34:25,453,27181,1,0,272,9,0.0,0.0,8229,1.0
150,245954,3655053,2019-12-16 12:03:22,453,27181,1,0,195,10,0.0,0.0,8229,1.0
151,245834,3642400,2019-12-15 21:59:30,453,27181,1,0,17,1,0.0,0.0,8230,1.0
152,245728,3638509,2019-12-15 14:33:47,453,27181,1,0,152,10,0.0,0.0,8229,1.0
153,245728,3642736,2019-12-15 22:39:21,453,27181,2,0,258,10,0.86,0.12,8230,0.99
154,245728,3650215,2019-12-16 10:51:43,453,27181,2,0,264,10,0.8,0.19,8229,1.0
155,245924,3642344,2019-12-15 21:52:58,453,27181,1,0,47,1,0.0,0.0,8230,1.0
156,245924,3647715,2019-12-16 10:09:29,453,27181,2,0,85,6,0.92,0.23,8229,0.83
157,341159,5886951,2020-11-30 11:37:05,453,37544,1,0,60,3,0.0,0.0,10914,1.0
158,340980,5886182,2020-11-30 11:28:21,453,37544,1,0,121,5,0.0,0.0,10896,1.0
159,340838,5877328,2020-11-30 09:10:15,453,37544,1,0,39,2,0.0,0.0,10896,1.0
160,341165,5887728,2020-11-30 11:46:12,453,37544,1,0,87,6,0.0,0.0,10914,1.0
161,342116,5903374,2020-11-30 19:49:11,453,37544,1,0,62,8,0.0,0.0,10914,1.0
162,339302,5844565,2020-11-29 08:28:58,453,37544,1,0,261,13,0.0,0.0,10914,1.0
163,339302,5885222,2020-11-30 11:18:08,453,37544,2,0,261,13,0.0,0.0,10896,1.0
164,244371,3601867,2019-12-12 18:14:28,453,27064,1,0,127,7,0.0,0.0,7740,1.0
165,244810,3610765,2019-12-13 09:36:22,453,27064,1,0,5,1,0.0,0.0,7744,1.0
166,245735,3653740,2019-12-16 11:43:45,453,27180,1,0,42,3,0.0,0.0,8231,1.0
167,245823,3646459,2019-12-16 09:37:19,453,27180,1,0,165,7,0.0,0.0,8231,1.0
168,245726,3652854,2019-12-16 11:31:24,453,27180,1,0,112,4,0.0,0.0,8231,1.0
169,245476,3633164,2019-12-13 23:16:30,453,27180,1,0,122,9,0.0,0.0,8231,1.0
170,245824,3648719,2019-12-16 10:24:51,453,27180,1,0,117,9,0.0,0.0,8231,1.0
171,245742,3655091,2019-12-16 12:04:16,453,27180,1,0,108,7,0.0,0.0,8231,1.0
172,245790,3639415,2019-12-15 16:27:00,453,27180,1,0,92,4,0.0,0.0,8256,1.0
173,363359,6427464,2020-12-14 12:17:41,453,40156,1,0,64,1,0.0,0.0,10738,1.0
174,362681,6417190,2020-12-14 10:07:19,453,40156,1,0,52,6,0.0,0.0,10738,1.0
175,363351,6427281,2020-12-14 12:11:20,453,40156,1,0,61,1,0.0,0.0,10738,1.0
176,362149,6412080,2020-12-14 01:14:37,453,40156,1,0,163,2,0.0,0.0,10738,1.0
177,363348,6427037,2020-12-14 12:06:46,453,40156,1,0,36,2,0.0,0.0,10737,1.0
178,363143,6423066,2020-12-14 11:16:48,453,40156,1,0,42,2,0.0,0.0,10737,1.0
179,244556,3605676,2019-12-12 21:42:42,453,27082,1,0,159,8,0.0,0.0,7807,1.0
180,244556,3626230,2019-12-13 16:36:31,453,27082,2,0,285,14,0.92,0.07,7806,0.96
181,244732,3629139,2019-12-13 17:34:04,453,27082,1,0,47,3,0.0,0.0,7806,1.0
