,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
70831,861,44509,437250,7315466,3,89,0.5060568820224719,0.7079282918823381
70839,861,41203,382101,6957678,2,436,0.416931542565016,0.6872796891351894
70868,861,41203,382103,6817248,2,405,0.4483370301902503,0.8476449430538269
70881,861,41203,382102,6958743,2,217,0.8852753024421925,0.9675011342426424
70897,861,41203,382104,6958467,2,518,0.1156699910338876,0.1737912537169657
70905,861,41203,382105,6817516,2,267,0.5645630800571625,0.8161134830212347
70906,861,41689,382111,6811953,1,185,0.0,0.0
70910,861,41689,382113,6815508,2,124,0.1687316676050072,0.1828498959417271
70912,861,41689,382112,6812471,1,97,0.0,0.0
70920,861,41689,382114,6844282,2,222,0.2486486486486486,0.8153964775586398
70930,861,41689,382115,6965234,3,113,0.4974615535889872,0.6158655076095754
70937,861,41204,382125,6981274,3,64,0.7917646608275664,0.7917646608275664
70946,861,41204,382124,6815584,3,98,0.692504976552093,0.7619258147981299
70951,861,41204,382121,6812374,3,239,0.3409798433182454,0.3918454284292841
70960,861,41204,382122,6813693,1,58,0.0,0.0
70965,861,41204,382123,6812896,2,202,0.1150198884915984,0.1321589682498383
70969,861,44512,437224,7315241,2,223,0.2127310510773268,0.4014558909288342
70972,861,44512,437225,7315267,2,106,0.5125786163522014,0.5425418298326807
70978,861,44512,437221,7310685,2,391,0.2592755964090353,0.7481120473690793
70981,861,44512,437223,7312394,2,199,0.1139463422437892,0.1221181283300926
70985,861,44512,437222,7308469,2,112,0.1283619616301909,0.992478266624937
70987,861,41214,381991,6806863,2,216,0.206654122202004,0.2351858281208954
70990,861,41214,383352,6815491,1,98,0.0,0.0
70994,861,41214,381989,6820224,3,240,0.3967574860810168,0.6470876885461857
70996,861,41214,381990,6820280,2,71,0.821848810187097,0.9795193334881824
71002,861,41214,381992,6820537,2,220,0.3992063492063492,0.5199586776859504
71011,861,41214,381993,6820595,3,70,0.6685714285714286,0.8424489795918368
71016,861,41213,381943,6839683,3,124,0.3774193548387097,0.6998569198751301
71029,861,41213,381942,6839696,3,193,0.287239347625457,0.8138858912610604
71031,861,41213,381999,6805588,2,9,0.0,0.0
71040,861,41213,381939,6806545,1,275,0.0,0.0
71047,861,41213,381940,6820234,2,76,0.5256232686980609,0.5256232686980609
71056,861,41213,381941,6806397,2,141,0.2957580470932499,0.7789461289288723
71058,1289,29837,274971,4351399,1,48,0.0,0.0
71065,1289,29837,274968,4351299,1,115,0.0,0.0
